Link,ID,Date,Name,price,condition,vin,cyliners,drive,fuel,odometer,paint,size,title,transmision,type
https://orangecounty.craigslist.org/cto/d/dana-point-2012-mitsubishi-eclipse/6782285132.html,6782285132,2018-12-28 16:05,2012 mitsubishi eclipse spyder,5000, good,, 4 cylinders, fwd, gas, 117300, brown, compact, clean, automatic, convertible
https://orangecounty.craigslist.org/cto/d/dana-point-1979-corvette-47k-org-miles/6777600031.html,6777600031,2018-12-21 00:54,1979 Chevrolet Corvette,22900, excellent,, 8 cylinders, rwd, gas, 47800, red,, clean, manual,
https://orangecounty.craigslist.org/cto/d/aliso-viejo-hyundai-sonata-gls-2014/6796112403.html,6796112403,2019-01-15 21:47,2014 huyndai sonata GLS,10600, excellent,, 4 cylinders, fwd, gas, 85500, white, full-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2015-toyota-prius-50k/6796089780.html,6796089780,2019-01-15 20:28,2015 toyota prius,11300,,, 4 cylinders,, hybrid, 50000,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2005-toyota-tundra-limited/6796042685.html,6796042685,2019-01-15 18:35,2005 toyota tundra limited,9000, excellent, 5tbet38175s478649, 8 cylinders, rwd, gas, 185000,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2015-lexus-is-350-sport/6786422168.html,6786422168,2019-01-03 17:59,2015 lexus es 350 4dr sdn,31000, like new,, 6 cylinders, rwd, gas, 13770, grey, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-1998-lexus-gs300-low-mls/6796033726.html,6796033726,2019-01-15 18:17,1998 lexus gs 300,3600, excellent,, 6 cylinders, rwd, gas, 135000,,, clean, automatic, hatchback
https://losangeles.craigslist.org/lac/cto/d/laguna-niguel-2014-bmw-328i-low-miles/6786428633.html,6786428633,2019-01-03 18:11,2014 BMW 328i,16990, like new,, 4 cylinders,, gas, 48800, white,, clean, automatic,
https://sandiego.craigslist.org/csd/cto/d/laguna-niguel-2014-bmw-328i-low-miles/6786431352.html,6786431352,2019-01-03 18:16,2014 BMW 328i,16990, like new,, 4 cylinders,, gas, 48800, white,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2016-honda-accord-ex-17k/6783461505.html,6783461505,2018-12-30 13:32,2016 Honda Accord EX W/ Sensing,19499, like new,, 4 cylinders, fwd, gas, 17000, silver, full-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/dana-point-lincoln-town-car-for-sale/6795949347.html,6795949347,2019-01-15 16:02,2003 lincoln town car cartier,3200, excellent,, 8 cylinders,, gas, 120000,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2017-toyota-tacoma-trd/6795944981.html,6795944981,2019-01-15 15:56,2017 Toyota Tacoma TRD Pro,43750, excellent,, 6 cylinders, 4wd, gas, 12200, white,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/dana-point-2006-mbz-slk-350/6776061780.html,6776061780,2018-12-18 21:29,2006 mercedes-benz slk350,7500, good,, 6 cylinders, fwd, gas, 107500, white,, clean, automatic, convertible
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2011-chevrolet-camaro-ls/6783953935.html,6783953935,2018-12-31 10:17,2011 Chevrolet Camaro LT Coupe,14500, excellent, 2G1FA1ED8B9151954, 6 cylinders, rwd, gas, 3000, blue,, clean, automatic, coupe
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2006-infinity-g35/6795845723.html,6795845723,2019-01-15 13:56,2006 Infinti G35,5700, good,, 6 cylinders, rwd, gas, 126000, white, mid-size, clean, automatic, coupe
https://orangecounty.craigslist.org/cto/d/dana-point-2011-nissan-maxima-138k/6793422343.html,6793422343,2019-01-12 12:32,2011 nissan maxima 3.5 s,5900, excellent,,,, gas, 138000,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/aliso-viejo-2006-acura-tl-with/6784390913.html,6784390913,2019-01-01 08:24,2006 Acura TL,7000, excellent, 19UUA66276A011284, 6 cylinders, fwd, gas, 126500, silver, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/aliso-viejo-vw-jetta/6778906466.html,6778906466,2018-12-22 21:48,2012 vw jetta,6500, excellent, 1, 4 cylinders, fwd, gas, 79, blue,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/dana-point-mini-cooper-convertible/6791290580.html,6791290580,2019-01-09 20:32,2008 MINI Cooper (R52),5800, good, WMWRF33568TG19212, 4 cylinders, fwd, gas, 103000, green, compact, clean, automatic, convertible
https://orangecounty.craigslist.org/cto/d/laguna-niguel-very-clean-2013-bmw-328i/6781187059.html,6781187059,2018-12-27 10:09,2013 bmw 3 series 328i,10500, excellent, WBA3C1C52DF438973, 4 cylinders, rwd, gas, 98400, grey, compact, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2013-hyundai-genesis-20t/6795599870.html,6795599870,2019-01-15 09:59,2013 hyundai genesis coupe,8000, like new,,, rwd, gas, 85000, black,, clean, manual, coupe
https://orangecounty.craigslist.org/cto/d/dana-point-f150-lifted-pickup/6795367386.html,6795367386,2019-01-15 05:56,1995 Ford F150,6250, excellent, 3445566677, 6 cylinders, rwd, gas, 89654, green, full-size, clean, manual, truck
https://orangecounty.craigslist.org/cto/d/dana-point-f150-lifted-pickup/6795364986.html,6795364986,2019-01-15 05:52,1995 Ford F150,6250, excellent, 3445566677, 6 cylinders, rwd, gas, 89654, blue, full-size, clean, manual, pickup
https://orangecounty.craigslist.org/cto/d/laguna-niguel-1995-mercedes-sl500/6781941359.html,6781941359,2018-12-28 09:48,1995 Mercedes SL 500,4800, excellent,, 8 cylinders, rwd, gas, 97000, white,, clean, automatic, convertible
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-2016-honda-pilot/6794864387.html,6794864387,2019-01-14 11:52,2016 Honda Pilot EX L,28200, excellent, 5FNYF5H52GB040820, 6 cylinders, rwd, gas, 47898, white, mid-size, clean, automatic, SUV
https://sandiego.craigslist.org/nsd/cto/d/laguna-niguel-2014-bmw-328i-low-miles/6787796193.html,6787796193,2019-01-05 12:06,2014 BMW 328i,16990, like new,, 4 cylinders,, gas, 48800, white,, clean, automatic,
https://sandiego.craigslist.org/csd/cto/d/dana-point-2013-mazda-speed-3-low-miles/6794847645.html,6794847645,2019-01-14 11:37,2013 mazda 3 hatchback,15999, excellent, JM1BL1L46D1799058,, fwd, gas, 58220, white,, clean, manual, hatchback
https://orangecounty.craigslist.org/cto/d/dana-point-2013-mazda-speed-3-low-miles/6794839566.html,6794839566,2019-01-14 11:30,2013 mazda 3 hatchback,15999, excellent, JM1BL1L46D1799058,, fwd, gas, 58220, white,, clean, manual, hatchback
https://losangeles.craigslist.org/lgb/cto/d/dana-point-2013-mazda-speed-3-low-miles/6794836764.html,6794836764,2019-01-14 11:28,2013 mazda 3 hatchback,15999, excellent, JM1BL1L46D1799058,, fwd, gas, 58220, white,, clean, manual,
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-lexus-rx400h/6782648628.html,6782648628,2018-12-29 09:12,2007 Lexus RX400H,7495,,,,, hybrid, 143000, silver,, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-toyota-prius/6781984493.html,6781984493,2018-12-28 10:29,2007 Toyota Prius,4895,,,,, hybrid, 150000, green,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-toyota-prius/6783116514.html,6783116514,2018-12-29 22:59,2007 Toyota Prius,5900,,,,, hybrid, 132000, black,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-toyota-prius-plug-in/6783115883.html,6783115883,2018-12-29 22:54,2012 Toyota prius plug in,8300,,,,, hybrid, 137000, grey,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-lexus-rx400h/6782653487.html,6782653487,2018-12-29 09:17,2007 Lexus RX400H,7495,,,,, hybrid, 143000, silver,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/san-juan-capistrano-toyota-prius/6781986480.html,6781986480,2018-12-28 10:30,2007 Toyota Prius,4895,,,,, hybrid, 150000, green,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/aliso-viejo-2013-tdi-passat-se/6788726572.html,6788726572,2019-01-06 18:30,2013 Volkswagen Passat TDI SE,8900, excellent,, 4 cylinders, fwd, diesel, 103000, blue, full-size, clean, automatic, sedan
https://inlandempire.craigslist.org/cto/d/laguna-niguel-2014-bmw-328i-low-miles/6787801996.html,6787801996,2019-01-05 12:11,2014 BMW 328i,16990, like new,, 4 cylinders,, gas, 48800, white,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2014-bmw-328i-low-miles/6787786966.html,6787786966,2019-01-05 11:56,2014 BMW 328i,16990, like new,, 4 cylinders,, gas, 48800,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-fordl-v6-automatic-work/6785146630.html,6785146630,2019-01-02 09:54,cryptocurrency ok,6000, good,, 6 cylinders, rwd, gas, 130500, white, full-size, clean, automatic, truck
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2014-honda-civic-8000-obo/6774830804.html,6774830804,2018-12-17 10:49,2014 Honda Civic,8000, excellent,, 4 cylinders, fwd, gas, 138000, blue, compact, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2014-honda-accord-one/6787926545.html,6787926545,2019-01-05 14:33,2014 honda accord,13999, excellent,, 4 cylinders, fwd, gas, 41495, grey,, clean, automatic, sedan
https://sandiego.craigslist.org/nsd/cto/d/dana-point-2014-audi-s8/6794646888.html,6794646888,2019-01-14 08:42,2014 audi s8,49000, excellent,, 8 cylinders, 4wd, gas, 42750, black, full-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-hyundai-sonata-gls-2014/6788150657.html,6788150657,2019-01-05 23:07,2014 hyandai sonata,10600, excellent,, 4 cylinders, fwd, gas, 85500, white, full-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2013-ford-fusion-hybrid/6794334458.html,6794334458,2019-01-13 18:53,2013 Ford Fusion Hybrid,9600, good, 3FA6P0LU8DR302846, 4 cylinders, fwd, hybrid, 80600, white, mid-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2011-hyundai-sonata/6794322371.html,6794322371,2019-01-13 18:28,2011 hyundai sonata gls,4800, excellent,, 4 cylinders,, gas, 120,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2011-vw-jetta-sport/6792448003.html,6792448003,2019-01-11 09:48,2011 jetta vw,4800, excellent,, 5 cylinders,, gas, 150000,,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2018-bmw-530e-hybrid/6794311357.html,6794311357,2019-01-13 18:06,2018 BMW 530e,42999, excellent,, 4 cylinders, fwd, hybrid, 15300, black, full-size, clean, automatic, sedan
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2015-kia-rio-ex/6794273057.html,6794273057,2019-01-13 16:58,2015 Kia Rio EX,11500, excellent, KNADN5A33F652472, 4 cylinders, fwd, gas, 23075, silver, compact, clean, automatic, hatchback
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2007-jeep-commander/6785604671.html,6785604671,2019-01-02 18:27,2007 Jeep Commander sport,5300, like new, 1J8HH48K27C538063, 6 cylinders, rwd, gas, 136000,, mid-size, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2005-nissan-pathfinder-le/6785617249.html,6785617249,2019-01-02 18:52,2005 nissan pathfinder le,5500, excellent, 5N1AR18U35C771741, 8 cylinders, rwd, gas, 142000, black, full-size, clean, automatic, SUV
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2010-bmw-528i/6785624378.html,6785624378,2019-01-02 19:07,2010 BMW 528i,9000, like new, WBANU5C55AC129475, 6 cylinders, rwd, gas, 99470, white, mid-size, clean, automatic, sedan
https://losangeles.craigslist.org/wst/cto/d/laguna-niguel-2014-bmw-328i-low-miles/6787808213.html,6787808213,2019-01-05 12:18,2014 BMW 328i,16990, like new,, 4 cylinders,, gas, 48800, white,, clean, automatic,
https://orangecounty.craigslist.org/cto/d/laguna-niguel-2006-bmw-x3/6794019864.html,6794019864,2019-01-13 11:15,2006 2006 BMW X3,4200, good, WBXPA93476WG86838, 6 cylinders, rwd, gas, 169709, black, mid-size, clean, automatic, SUV
