address,price,listing_status,days_on_site,type,MLS_number,beds,baths,sq_ft_lot,garage,sq_ft,year_built,desc,bedrooms_desc,bathroom_desc,kitchen_desc,dining_room_desc,family_room_desc,fireplace_desc,flooring_desc,laundry_desc,cooling_desc,heating_desc,roof_desc,fundation_desc,pool_desc,style_desc,horse_property_desc,garage_desc,elementary_district_desc,high_school_district_desc,unit_levels_desc,sewer_desc,water_desc,hoa_fee_desc,complex_amenities_desc,zoning_desc
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,Gorgeous luxury residence boasting world-class lakefront location and featuring fabulous outdoor entertaining area and spectacular panoramic views. Charming curb appeal well matched by comfortable smart floorplan. Impressive living room entry showcases soaring vaulted ceilings rich wood flooring and oversized skylight providing ample natural light. Chefs' kitchen complete with dual ovens wrap-around countertops and pass-thru to family room. 3 large upstairs bedrooms including dramatic master suite with vaulted ceilings spa-quality bath walk-in closet & private view deck. Amazing outdoor entertaining space includes wrap-around patio + private sitting area. Situated in one of the most desirable communities in Southern California offering world-class school district multiple parks walking trails shopping dining entertainment and more! WOW!,Master Suite/Retreat  Other,–,Other,–,Other Separate Family Room,Living Room,–,In Laundry Room  Other,Central Forced Air,Central Forced Air,–,–,Community Facility Spa - Community Facility,Mediterranean,–,Garage  Other Garage: 2 Car(s),Irvine Unified,Irvine Unified,–,–,–,$91,Barbecue Area Community Pool Picnic Area  Playground,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,"We are pleased to offer 607 Calle Canasta a 4-unit apartment building nestled in the rolling hills of San Clemente. Priced at a 4.4% CAP Rate on current rents still with upside makes this one of the only properties in San Clemente priced this attractively. The offering at 607 Calle Canasta is ideally located near major retail and employment miles of hiking trails and just minutes from Avenida Del Mar (Downtown) legendary surf spots and historic San Clemente Pier. 

This 4-unit building is comprised of (1) one bedroom/one bathroom unit (2) two bedroom/two bathroom units and (1) three bedroom/two bathroom unit. Tenants of the property enjoy such amenities as on-site laundry a community courtyard large private patios and balconies. The three bedroom unit has received a full rehab and renovation with substantial upgrades. The remaining units have received mild improvements and all have tile flooring.  This asset provides immediate cash flow to an investor with easily obtainable growth in income.

*Best Priced 4-Plex in San Clemente *4.4% CAP Rate and 15.79 GRM on Current Rents with Upside Potential *Well Maintained Property with Upgrades *Newer Roof and a Full Copper Re-plumb *1 2 & 3-Bedroom Units *Garages",–,–,–,–,–,–,–,Community Facility,–,–,–,–,None,–,–,Garage: 4 Car(s),–,–,–,–,–,–,–,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,"Absolutely GORGEOUS home with an INCREDIBLE VIEW! The ""CASA MONACO"" model is the largest floorplan in Laguna Woods boasting over 2570 sq. ft. The prestigious Grand Finales --110 homes total-- the last and largest homes built in the Village.  This home is located right inside Gate 9 on a quiet single loaded terranced street with a wonderful panoramic view from the fully enclosed east facing patio off the living room with double pane windows adding an additional 350 sq. ft. to the home that is not included in the living area sq. ft. This beautiful home features over-sized double doors leading into the home’s formal entry foyer a massive living room with 11’ ceilings and a wonderful stone walled wood burning fireplace and a formal dining room. The expansive master suite has an enormous walk-in closet w/ample cabinetry & shelving dual bathroom sinks w/an oversized walk-in shower w/stone walls & glass enclosure. Enjoy the large remodeled kitchen with a center island double ovens granite counter tops and a nice bright breakfast nook. Along with a separate laundry room with a sink storage cabinets & gas connections. Other features include eight large interior skylights plus three more on the finished patio crown molding throughout tile flooring and a tan",Master Suite/Retreat,–,Dishwasher Garbage Disposal Hood Over Range  Other Oven - Double Other  Pantry,Breakfast Nook Formal Dining Room,–,Gas Starter Living Room Wood Burning,–,In Laundry Room  Other,Central Forced Air,Electric Forced Air,Composition,Slab,Community Facility Spa - Community Facility,–,–,Garage  Other Storage - RV Garage: 2 Car(s),Saddleback Valley Unified,Saddleback Valley Unified,–,–,–,$637,Billiard Room Cable / Satellite TV Club House Community Pool Conference Facilities Game Room Golf Course Gym / Exercise Facility  Other,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,What’s not to love about this newly remodeled Big Canyon Villa front row town house that can claim one of the best golf course views in the entire development? It not only looks great but inside the walls all new PLEX piping has been installed. Location: across the street from Fashion Island a short drive to Corona Del Mar village exclusive shops and restaurants short drive to business centers and John Wayne Airport and some of the world’s best sandy beaches. Upgrades: beautiful new pecan hardwood floor (no vinyl or laminate) a downstairs 11’ x 11’ “Flex” room. Could be a bedroom media room or study soaring 16’ beamed ceilings accentuated by an impressive chandelier. Custom designed precast cement fireplace surround brand new expanded open concept kitchen which includes GE appliances (gas range not electric) classic white Shaker Cabinets quartz counter tops and an elegant marble back-splash. Spectacular and spacious master suite with a full on view of Big canyon golf course two separate closets and a spa like master bath with luxurious black and white granite floors  a rich dark wood vanity quartz counter tops and pure white vessel sinks separate shower and freestanding soaking tub. The additional guest bedroom has its own bathroom that s,Ground Floor Bedroom Master Suite/Retreat Master Suite/Retreat - 2+,–,Dishwasher  Microwave  Other Oven - Double Oven Range - Electric  Refrigerator Trash Compactor,Breakfast Bar Formal Dining Room,–,Gas Burning Living Room Master Bedroom,–,In Laundry Room  Other,Central Forced Air,Central Forced Air Forced Air,Tile,–,Community Facility  Heated Spa - Community Facility,Mediterranean,–,Garage Gate/Door Opener Garage: 2 Car(s),Newport-Mesa Unified,Newport-Mesa Unified,–,–,–,$620,Community Pool,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,Nestled on a quiet tree-lined street just five blocks from the sand discover this turn-key beach house. With a charming courtyard entry with ample room for seating host and entertain guests with ease and enjoy the indoor/outdoor lifestyle of living by the ocean. With neutral color tones and coastal chic design the main floor showcases an open concept living and dining room with double doors opening to the front patio. The spacious kitchen showcases bright white cabinets granite counters upgraded stainless appliances and flows to a cozy family room with custom built-ins for storage and design. The house features ample windows illuminating the space with natural light making it feel extra bright and airy. Upstairs boasts three bedrooms including two master suites and an added guest bedroom all three with attached private bathrooms. Head up one more level to the rooftop deck to observe spectacular views of Southern California’s incredible sunsets local mountains and the Pacific Ocean. This over 2600 SF property features many upgrades including a two car attached garage. Ideally located at the quiet end of 22nd street this house is close to Dwyer/Smith/HBHS and an easy walk or bike ride to the beach Downtown and Pacific City.,Master Suite/Retreat Master Suite/Retreat - 2+  Other,–,Dishwasher  Microwave  Other  Refrigerator Pantry,"Dining ""L"" In Kitchen",Other,Living Room Master Bedroom,–,In Laundry Room Laundry Area  Other Upper Floor,Ceiling Fan  None,Central Forced Air,Tile,–,None,Mediterranean,–,Garage Garage: 2 Car(s),–,Huntington Beach Union High,–,–,–,$0,–,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,Experience breathtaking ocean and golf course views from this spectacular property located in the Pacifica community of Talega. The residence is situated on a single loaded street facing the 10th fairway on a private 7389 sqft lot and 4372 square feet of meticulously maintained living space. This residence is an entertainer's dream with the perfect blend of indoor and outdoor living. The exceptional floor plan offers five bedrooms and five baths with one bedroom downstairs. The ultimate in elegance and class this home features a gourmet kitchen with granite countertops and stainless steel KitchenAid appliances including built-in refrigerator. Other fine amenities include gorgeous limestone flooring plantation shutters crown molding custom built-ins surround sound mosaic tile entry french doors two fireplaces recessed lighting ceiling fans built-in closet organizer three car garage with epoxy flooring and storage cabinets. Enjoy entertaining family and friends in private backyard with custom covered outdoor living area primed for year-round enjoyment and end your day soaking in custom hot tub. Brilliant ocean and golf course views from private balcony off of master bedroom. This home is located minutes from the Talega Swim and Athletic Club w,Ground Floor Bedroom,Jack and Jill,Dishwasher Garbage Disposal  Microwave  Refrigerator,"Dining ""L""  Other",Other,Family Room Living Room,–,In Laundry Room,Ceiling Fan Central Forced Air,Forced Air,Tile,–,Community Facility,–,–,Attached Garage  Garage  Other Storage - RV Garage: 3 Car(s),Capistrano Unified,Capistrano Unified,–,–,–,$200,Barbecue Area Billiard Room Club House Community Pool Conference Facilities Game Room Picnic Area  Playground,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,10531 Park Villa Circle is an Entertainer's Paradise! Situated on a Private Corner Lot and Cul-De-Sac Street This Single Story Dream Home Boasts Four Bedrooms Two and a Half Baths and Spacious Loft. Enjoy Backyard Access From the Master Bedroom Kitchen and Living Room. The Living Room and Dining Room Enjoy a Vaulted Ceiling Fireplace and Views of the Backyard. The Family Room Features a Vaulted Ceiling Access to the Private Courtyard Wet Bar with Seating and Opens Directly to the Kitchen. The Gourmet Kitchen Includes: Sub-Zero Refrigerator Commercial Eight Burner Viking Stove with Hood Sub-Zero Ice Maker 150 Bottle Sub-Zero Wine Refrigerator Viking Trash Compactor Two Viking Dishwashers Two Sinks Large Island with Seating Walk-In Pantry Breakfast Nook Desk and Enjoys Direct Backyard Access. The Entertainer's Backyard Boasts Privacy Pool Spa Fire-Pit Multiple Seating Areas Grass Gated Side Yard/Dog Run and Fruit Trees. The Master Bedroom Flaunts a Vaulted Ceiling Two Closets (One Walk-In) Dual-Vanities Walk-In Shower and Separate Tub. Indoor Laundry Room Features Built-In Cabinets Sink and Direct Access to the Three Car Garage with Attic Storage. Highly Desired Villa Park School District. The Premier Location Allows For Ea,Ground Floor Bedroom Master Suite/Retreat,–,Dishwasher Ice Maker  Other  Refrigerator Trash Compactor Pantry,Breakfast Nook Formal Dining Room In Kitchen,Other,Fire Pit Living Room,–,In Laundry Room  Other,Central Forced Air,Central Forced Air,–,–,In Ground  Other Pool - Yes Spa - Private,–,–,Garage Off-Street Parking  Other Garage: 3 Car(s),Orange Unified,Orange Unified,–,–,–,–,–,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,"Charming -Coastal- Cozy ....welcome to Old Town Seal Beach!! Just a short walk to the sand and Main St this house with the quintessential ""white picket fence"" has everything that you have been looking for! Completely remodeled this property combines casual beachy living and modern conveniences. Situated on an oversized lot and a half this property has been completely remodeled from top to bottom. The outside features custom front landscape with putting green covered patio area and lush foliage. Enter through your Dutch door and be enchanted with the spacious kitchen complete with shaker cabinetry granite and built in breakfast nook. Adjoining to the family room where French doors open to the patio area making for the perfect place to entertain family and friends. Interior features include bamboo flooring custom tile work ample windows for maximum natural light and beach breezes and storage at every turn. Additional features include all new Milgard windows and doors copper plumbing solar service new roof new exterior siding multi zoned heating and A/C. Downstairs features 3 bedrooms while upstairs includes an enormous master suite vaulted ceilings reading nook a custom spa like bathroom and a west facing viewing nook. Don't let this",Ground Floor Bedroom Master Suite/Retreat Master Suite/Retreat - 2+,–,Oven Range - Gas Water Softener,Breakfast Bar,–,None,Bamboo,In Laundry Room,–,–,–,–,None,–,–,Attached Garage  Garage Gate/Door Opener Garage: 2 Car(s),Los Alamitos Unified,Los Alamitos Unified,–,–,–,$0,–,–
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,A Stunning Mesa Verde Home located in the popular Mesa Verde Inner loop. Property offers 3220 square feet of living space with an open and bright floor plan. 4 bedrooms which include 1 master bedroom downstairs with a retreat area and has a his and hers walk in closet. The 2nd master bedroom located upstairs with a walk in closet. 3 full bathrooms which have been totally remodeled and a powder room for guest. A beautiful remodeled kitchen with new graphite grey cabinets courtz counter tops huge island walk in pantry and all new appliances which opens up to the family room and dining area. New engineered wood floors throughout window shutters crown molding and closet built ins. Great Location !!!1 Block from the Mesa Verde Country Club. This is a home you must see!!!,Ground Floor Bedroom Master Suite/Retreat Master Suite/Retreat - 2+,–,Dishwasher Exhaust Fan Garbage Disposal  Microwave  Other Oven - Gas Oven Range  Refrigerator  Dryer  Washer Exhaust Fan  Other  Pantry,Formal Dining Room In Kitchen,Other,Family Room,Other,Hookup - Gas Dryer In Laundry Room,Central Forced Air,Central Forced Air,–,–,None,–,–,Garage: 2 Car(s),Newport-Mesa Unified,Newport-Mesa Unified,–,–,–,$0,–,R1
"611 Cress St, Laguna Beach, CA, 92651","$1,479,000",Active,93,Single Family Residence,CROC18253199,2,2,"2,943",1,"1,050",1939,Brand new construction by Irvine Pacific located in the newly-opened Como neighborhood at Reserve in Orchard Hills . This 2494 SQ FT Plan 1 detached home features Tuscan architecture with 4 Bedrooms (including 1 Bedroom on first floor) 3 Bathrooms and a Gourmet Kitchen featuring decorative backsplash built-in KitchenAid Stainless Steel appliances complete with microwave dishwasher 6 burner stovetop and oven. This spacious expansive Great Room floorplan is further enhanced by the included panoramic stacking sliders along the entire main level rear side of the home resulting in increased opportunities for sunlight fresh air and entertainment.  The Master Bedroom includes a Coffered Ceiling and Walk-In Closet. Direct access 2 car attached garage. Home is in walking distance to Reserve's private resort style community park and Northwood High School.  Must visit in person to truly appreciate the spectacular views and serenity offered by the unique village.,Ground Floor Bedroom Master Suite/Retreat,–,Garbage Disposal Hood Over Range  Microwave  Other Oven - Gas Oven - Self Cleaning Other  Pantry,–,–,None,–,Hookup - Gas Dryer Laundry Area  Other Upper Floor,Central Forced Air  Other,Forced Air  Gas,–,–,Community Facility  Heated In Ground Spa - Community Facility,–,–,Garage: 2 Car(s),Irvine Unified,Irvine Unified,–,–,–,$299,Barbecue Area Community Pool  Playground,–
